contract_id,customer_id,vendor_id,service_level_days,penalty_clause
CTR-247,C-116,V-173,7,6% credit if delivery >7 days
CTR-248,C-116,V-493,7,5% credit if delivery >7 days
CTR-249,C-117,V-176,7,5% credit if delivery >5 days
CTR-250,C-117,V-497,7,7% credit if delivery >7 days
CTR-251,C-118,V-175,7,5% credit if delivery >7 days
CTR-252,C-118,V-495,7,4% credit if delivery >7 days
CTR-253,C-119,V-177,5,4% credit if delivery >5 days
CTR-254,C-120,V-178,7,5% credit if delivery >7 days
CTR-255,C-120,V-496,21,24% credit if delivery >21 days
CTR-256,C-121,V-196,14,18% credit if delivery >14 days + quality
CTR-257,C-121,V-231,21,20% credit if delivery >21 days
CTR-258,C-121,V-261,21,18% credit if delivery >21 days
CTR-259,C-121,V-281,21,26% credit if delivery >21 days
CTR-260,C-122,V-180,7,6% credit if delivery >7 days
CTR-261,C-122,V-498,7,6% credit if delivery >7 days
CTR-262,C-123,V-178,7,5% credit if delivery >7 days
CTR-263,C-123,V-499,7,5% credit if delivery >7 days
CTR-264,C-124,V-181,14,15% credit if delivery >14 days
CTR-265,C-125,V-180,7,6% credit if delivery >7 days
CTR-266,C-125,V-496,21,24% credit if delivery >21 days
CTR-267,C-126,V-182,5,4% credit if delivery >5 days
CTR-268,C-126,V-500,7,6% credit if delivery >7 days
CTR-269,C-127,V-183,7,6% credit if delivery >7 days
CTR-270,C-127,V-498,7,6% credit if delivery >7 days
CTR-271,C-128,V-184,5,4% credit if delivery >5 days
CTR-272,C-129,V-185,7,6% credit if delivery >7 days
CTR-273,C-129,V-500,7,6% credit if delivery >7 days
CTR-274,C-130,V-183,7,6% credit if delivery >7 days
CTR-275,C-130,V-496,21,24% credit if delivery >21 days
CTR-276,C-131,V-186,7,5% credit if delivery >7 days
CTR-277,C-131,V-501,21,19% credit if delivery >21 days
CTR-278,C-132,V-185,7,6% credit if delivery >7 days
CTR-279,C-132,V-500,7,6% credit if delivery >7 days
CTR-280,C-133,V-187,5,4% credit if delivery >5 days
CTR-281,C-134,V-188,7,6% credit if delivery >7 days
CTR-282,C-134,V-502,7,5% credit if delivery >7 days
CTR-283,C-135,V-189,7,5% credit if delivery >7 days
CTR-284,C-136,V-190,7,6% credit if delivery >7 days
CTR-285,C-136,V-496,21,24% credit if delivery >21 days
CTR-286,C-137,V-188,7,6% credit if delivery >7 days
CTR-287,C-137,V-211,14,12% credit if delivery >14 days
CTR-288,C-137,V-246,14,10% credit if delivery >14 days
CTR-289,C-138,V-191,5,4% credit if delivery >5 days
CTR-290,C-138,V-503,7,6% credit if delivery >7 days
CTR-291,C-139,V-190,7,6% credit if delivery >7 days
CTR-292,C-139,V-501,21,19% credit if delivery >21 days
CTR-293,C-140,V-192,7,6% credit if delivery >7 days
CTR-294,C-141,V-193,7,4% credit if delivery >7 days
CTR-295,C-141,V-505,7,6% credit if delivery >7 days
CTR-296,C-142,V-194,5,5% credit if delivery >5 days
CTR-297,C-143,V-195,7,5% credit if delivery >7 days
CTR-298,C-143,V-503,7,6% credit if delivery >7 days
CTR-299,C-144,V-193,7,4% credit if delivery >7 days
CTR-300,C-144,V-506,7,6% credit if delivery >7 days
CTR-301,C-145,V-196,14,18% credit if delivery >14 days + quality
CTR-302,C-145,V-231,21,20% credit if delivery >21 days
CTR-303,C-145,V-261,21,18% credit if delivery >21 days
CTR-304,C-145,V-281,21,26% credit if delivery >21 days
CTR-305,C-145,V-296,14,12% credit if delivery >14 days
CTR-306,C-146,V-195,7,5% credit if delivery >7 days
CTR-307,C-146,V-503,7,6% credit if delivery >7 days
CTR-308,C-147,V-197,5,4% credit if delivery >5 days
CTR-309,C-148,V-198,7,6% credit if delivery >7 days
CTR-310,C-148,V-507,7,5% credit if delivery >7 days
CTR-311,C-149,V-199,7,5% credit if delivery >7 days
CTR-312,C-149,V-508,7,6% credit if delivery >7 days
CTR-313,C-150,V-200,7,6% credit if delivery >7 days
CTR-314,C-151,V-198,7,6% credit if delivery >7 days
CTR-315,C-151,V-508,7,6% credit if delivery >7 days
CTR-316,C-152,V-201,7,5% credit if delivery >7 days
CTR-317,C-152,V-501,21,19% credit if delivery >21 days
CTR-318,C-153,V-200,7,6% credit if delivery >7 days
CTR-319,C-154,V-202,7,6% credit if delivery >7 days
CTR-320,C-154,V-508,7,6% credit if delivery >7 days
CTR-321,C-155,V-203,7,5% credit if delivery >7 days
CTR-322,C-156,V-204,7,5% credit if delivery >7 days
CTR-323,C-156,V-510,7,7% credit if delivery >7 days
CTR-324,C-157,V-205,7,6% credit if delivery >7 days
CTR-325,C-158,V-203,7,5% credit if delivery >7 days
CTR-326,C-158,V-508,7,6% credit if delivery >7 days
CTR-327,C-159,V-206,5,4% credit if delivery >5 days
CTR-328,C-159,V-501,21,19% credit if delivery >21 days
CTR-329,C-160,V-205,7,6% credit if delivery >7 days
CTR-330,C-161,V-207,7,6% credit if delivery >7 days
CTR-331,C-162,V-208,7,4% credit if delivery >7 days
CTR-332,C-162,V-513,7,4% credit if delivery >7 days
CTR-333,C-163,V-209,7,6% credit if delivery >7 days
CTR-334,C-164,V-210,7,7% credit if delivery >7 days
CTR-335,C-164,V-513,7,4% credit if delivery >7 days
CTR-336,C-165,V-208,7,4% credit if delivery >7 days
CTR-337,C-166,V-211,14,12% credit if delivery >14 days
CTR-338,C-166,V-231,21,20% credit if delivery >21 days
CTR-339,C-166,V-246,14,10% credit if delivery >14 days
CTR-340,C-166,V-261,21,18% credit if delivery >21 days
CTR-341,C-166,V-281,21,26% credit if delivery >21 days
CTR-342,C-166,V-296,14,12% credit if delivery >14 days
CTR-343,C-166,V-311,21,23% credit if delivery >21 days
CTR-344,C-167,V-210,7,7% credit if delivery >7 days
CTR-345,C-168,V-212,5,4% credit if delivery >5 days
CTR-346,C-169,V-213,7,5% credit if delivery >7 days
CTR-347,C-169,V-513,7,4% credit if delivery >7 days
CTR-348,C-170,V-214,5,6% credit if delivery >5 days
CTR-349,C-171,V-215,7,5% credit if delivery >7 days
CTR-350,C-171,V-511,21,24% credit if delivery >21 days
CTR-351,C-172,V-213,7,5% credit if delivery >7 days
CTR-352,C-173,V-216,7,5% credit if delivery >7 days
CTR-353,C-174,V-215,7,5% credit if delivery >7 days
CTR-354,C-175,V-217,7,6% credit if delivery >7 days
CTR-355,C-176,V-218,7,6% credit if delivery >7 days
CTR-356,C-177,V-219,7,5% credit if delivery >7 days
CTR-357,C-178,V-220,7,7% credit if delivery >7 days
CTR-358,C-179,V-218,7,6% credit if delivery >7 days
CTR-359,C-180,V-221,5,4% credit if delivery >5 days
CTR-360,C-181,V-220,7,7% credit if delivery >7 days
CTR-361,C-182,V-222,5,6% credit if delivery >5 days
CTR-362,C-182,V-511,21,24% credit if delivery >21 days
CTR-363,C-183,V-223,7,5% credit if delivery >7 days
CTR-364,C-184,V-224,5,5% credit if delivery >5 days
CTR-365,C-185,V-225,7,6% credit if delivery >7 days
CTR-366,C-186,V-223,7,5% credit if delivery >7 days
CTR-367,C-187,V-226,7,5% credit if delivery >7 days
CTR-368,C-188,V-225,7,6% credit if delivery >7 days
CTR-369,C-188,V-511,21,24% credit if delivery >21 days
CTR-370,C-189,V-227,5,6% credit if delivery >5 days
CTR-371,C-190,V-228,7,5% credit if delivery >7 days
CTR-372,C-191,V-229,7,7% credit if delivery >7 days
CTR-373,C-192,V-230,7,5% credit if delivery >7 days
CTR-374,C-193,V-228,7,5% credit if delivery >7 days
CTR-375,C-194,V-231,21,20% credit if delivery >21 days
CTR-376,C-194,V-246,14,10% credit if delivery >14 days
CTR-377,C-194,V-261,21,18% credit if delivery >21 days
CTR-378,C-194,V-281,21,26% credit if delivery >21 days
CTR-379,C-194,V-296,14,12% credit if delivery >14 days
CTR-380,C-194,V-311,21,23% credit if delivery >21 days
CTR-381,C-194,V-331,21,28% credit if delivery >21 days
CTR-382,C-195,V-230,7,5% credit if delivery >7 days
CTR-383,C-196,V-232,7,6% credit if delivery >7 days
CTR-384,C-197,V-233,7,5% credit if delivery >7 days
CTR-385,C-198,V-234,7,6% credit if delivery >7 days
CTR-386,C-199,V-235,7,6% credit if delivery >7 days
CTR-387,C-200,V-233,7,5% credit if delivery >7 days
CTR-388,C-201,V-236,7,5% credit if delivery >7 days
CTR-389,C-202,V-235,7,6% credit if delivery >7 days
CTR-390,C-203,V-237,5,5% credit if delivery >5 days
CTR-391,C-204,V-238,7,7% credit if delivery >7 days
CTR-392,C-205,V-239,7,5% credit if delivery >7 days
CTR-393,C-206,V-240,7,6% credit if delivery >7 days
CTR-394,C-207,V-238,7,7% credit if delivery >7 days
CTR-395,C-208,V-241,7,5% credit if delivery >7 days
CTR-396,C-209,V-240,7,6% credit if delivery >7 days
CTR-397,C-210,V-242,7,6% credit if delivery >7 days
CTR-398,C-211,V-243,7,5% credit if delivery >7 days
CTR-399,C-212,V-244,7,7% credit if delivery >7 days
CTR-400,C-213,V-245,7,6% credit if delivery >7 days
CTR-401,C-214,V-243,7,5% credit if delivery >7 days
CTR-402,C-215,V-231,21,20% credit if delivery >21 days
CTR-403,C-215,V-246,14,10% credit if delivery >14 days
CTR-404,C-215,V-261,21,18% credit if delivery >21 days
CTR-405,C-215,V-281,21,26% credit if delivery >21 days
CTR-406,C-215,V-296,14,12% credit if delivery >14 days
CTR-407,C-215,V-311,21,23% credit if delivery >21 days
CTR-408,C-215,V-331,21,28% credit if delivery >21 days
CTR-409,C-215,V-346,14,12% credit if delivery >14 days
CTR-410,C-216,V-245,7,6% credit if delivery >7 days
CTR-411,C-217,V-247,5,5% credit if delivery >5 days
CTR-412,C-218,V-248,7,6% credit if delivery >7 days
CTR-413,C-219,V-249,7,6% credit if delivery >7 days
CTR-414,C-220,V-250,7,5% credit if delivery >7 days
CTR-415,C-221,V-248,7,6% credit if delivery >7 days
CTR-416,C-222,V-251,7,6% credit if delivery >7 days
CTR-417,C-223,V-250,7,5% credit if delivery >7 days
CTR-418,C-224,V-252,5,4% credit if delivery >5 days
CTR-419,C-225,V-253,7,7% credit if delivery >7 days
CTR-420,C-226,V-254,7,6% credit if delivery >7 days
CTR-421,C-227,V-255,7,6% credit if delivery >7 days
CTR-422,C-228,V-253,7,7% credit if delivery >7 days
CTR-423,C-229,V-256,7,5% credit if delivery >7 days
CTR-424,C-230,V-255,7,6% credit if delivery >7 days
CTR-425,C-231,V-257,7,6% credit if delivery >7 days
CTR-426,C-232,V-258,7,5% credit if delivery >7 days
CTR-427,C-233,V-259,7,6% credit if delivery >7 days
CTR-428,C-234,V-260,7,5% credit if delivery >7 days
CTR-429,C-235,V-258,7,5% credit if delivery >7 days
CTR-430,C-236,V-261,21,18% credit if delivery >21 days
CTR-431,C-236,V-281,21,26% credit if delivery >21 days
CTR-432,C-236,V-296,14,12% credit if delivery >14 days
CTR-433,C-236,V-311,21,23% credit if delivery >21 days
CTR-434,C-236,V-331,21,28% credit if delivery >21 days
CTR-435,C-236,V-346,14,12% credit if delivery >14 days
CTR-436,C-236,V-361,21,26% credit if delivery >21 days
CTR-437,C-237,V-260,7,5% credit if delivery >7 days
CTR-438,C-238,V-262,7,7% credit if delivery >7 days
CTR-439,C-239,V-263,7,5% credit if delivery >7 days
CTR-440,C-240,V-264,7,6% credit if delivery >7 days
CTR-441,C-241,V-265,7,6% credit if delivery >7 days
CTR-442,C-242,V-263,7,5% credit if delivery >7 days
CTR-443,C-243,V-266,7,6% credit if delivery >7 days
CTR-444,C-244,V-265,7,6% credit if delivery >7 days
CTR-445,C-245,V-267,5,5% credit if delivery >5 days
CTR-446,C-246,V-268,7,4% credit if delivery >7 days
CTR-447,C-247,V-269,7,6% credit if delivery >7 days
CTR-448,C-248,V-270,7,7% credit if delivery >7 days
CTR-449,C-249,V-268,7,4% credit if delivery >7 days
CTR-450,C-250,V-271,7,5% credit if delivery >7 days
CTR-451,C-251,V-270,7,7% credit if delivery >7 days
CTR-452,C-252,V-272,7,6% credit if delivery >7 days
CTR-453,C-253,V-273,7,5% credit if delivery >7 days
CTR-454,C-254,V-274,5,5% credit if delivery >5 days
CTR-455,C-255,V-275,7,6% credit if delivery >7 days
CTR-456,C-256,V-273,7,5% credit if delivery >7 days
CTR-457,C-257,V-276,7,6% credit if delivery >7 days
CTR-458,C-258,V-275,7,6% credit if delivery >7 days
CTR-459,C-259,V-277,5,4% credit if delivery >5 days
CTR-460,C-260,V-278,7,7% credit if delivery >7 days
CTR-461,C-261,V-279,7,6% credit if delivery >7 days
CTR-462,C-262,V-280,7,5% credit if delivery >7 days
CTR-463,C-263,V-278,7,7% credit if delivery >7 days
CTR-464,C-264,V-281,21,26% credit if delivery >21 days
CTR-465,C-264,V-296,14,12% credit if delivery >14 days
CTR-466,C-264,V-311,21,23% credit if delivery >21 days
CTR-467,C-264,V-331,21,28% credit if delivery >21 days
CTR-468,C-264,V-346,14,12% credit if delivery >14 days
CTR-469,C-264,V-361,21,26% credit if delivery >21 days
CTR-470,C-264,V-376,14,16% credit if delivery >14 days
CTR-471,C-265,V-280,7,5% credit if delivery >7 days
CTR-472,C-266,V-282,7,6% credit if delivery >7 days
CTR-473,C-267,V-283,7,6% credit if delivery >7 days
CTR-474,C-268,V-284,7,5% credit if delivery >7 days
CTR-475,C-269,V-285,7,6% credit if delivery >7 days
CTR-476,C-270,V-283,7,6% credit if delivery >7 days
CTR-477,C-271,V-286,7,7% credit if delivery >7 days
CTR-478,C-272,V-285,7,6% credit if delivery >7 days
CTR-479,C-273,V-287,5,4% credit if delivery >5 days
CTR-480,C-274,V-288,7,6% credit if delivery >7 days
CTR-481,C-275,V-289,7,5% credit if delivery >7 days
CTR-482,C-276,V-290,7,6% credit if delivery >7 days
CTR-483,C-277,V-288,7,6% credit if delivery >7 days
CTR-484,C-277,V-281,21,26% credit if delivery >21 days
CTR-485,C-278,V-291,7,6% credit if delivery >7 days
CTR-486,C-279,V-290,7,6% credit if delivery >7 days
CTR-487,C-280,V-292,7,5% credit if delivery >7 days
CTR-488,C-281,V-293,7,6% credit if delivery >7 days
CTR-489,C-282,V-294,7,5% credit if delivery >7 days
CTR-490,C-283,V-295,7,7% credit if delivery >7 days
CTR-491,C-284,V-293,7,6% credit if delivery >7 days
CTR-492,C-285,V-296,14,12% credit if delivery >14 days
CTR-493,C-285,V-311,21,23% credit if delivery >21 days
CTR-494,C-285,V-331,21,28% credit if delivery >21 days
CTR-495,C-285,V-346,14,12% credit if delivery >14 days
CTR-496,C-285,V-361,21,26% credit if delivery >21 days
CTR-497,C-285,V-376,14,16% credit if delivery >14 days
CTR-498,C-285,V-381,27,32% credit if delivery >27 days + maximum penalties
CTR-499,C-286,V-295,7,7% credit if delivery >7 days
CTR-500,C-287,V-297,7,6% credit if delivery >7 days
